data,mm,uf
2015-01-01,0.0,SP
2015-01-01,0.0,SP
2015-01-01,0.0,SP
2015-01-01,0.0,SP
2015-01-01,0.0,SP
2015-01-01,0.0,SP
2015-01-01,0.0,SP
2015-01-01,0.0,SP
2015-01-01,0.0,SP
2015-01-01,0.0,SP
2015-01-01,0.0,SP
2015-01-01,0.0,SP
2015-01-01,0.0,SP
2015-01-01,0.0,SP
2015-01-01,0.0,SP
2015-01-01,0.0,SP
2015-01-01,1.0,SP
2015-01-01,0.4,SP
2015-01-01,0.0,SP
2015-01-01,0.0,SP
2015-01-01,0.0,SP
2015-01-01,3.4,SP
2015-01-01,0.2,SP
2015-01-01,0.0,SP
2015-01-02,0.0,SP
2015-01-02,0.0,SP
2015-01-02,0.0,SP
2015-01-02,0.0,SP
2015-01-02,0.0,SP
2015-01-02,0.0,SP
2015-01-02,0.0,SP
2015-01-02,0.0,SP
2015-01-02,0.0,SP
2015-01-02,0.0,SP
2015-01-02,0.0,SP
2015-01-02,0.0,SP
2015-01-02,0.0,SP
2015-01-02,0.0,SP
2015-01-02,0.0,SP
2015-01-02,0.2,SP
2015-01-02,0.0,SP
2015-01-02,0.0,SP
2015-01-02,0.0,SP
2015-01-02,0.0,SP
2015-01-02,0.0,SP
2015-01-02,0.0,SP
2015-01-02,0.0,SP
2015-01-02,0.0,SP
2015-01-03,0.0,SP
2015-01-03,0.0,SP
2015-01-03,0.0,SP
2015-01-03,0.0,SP
2015-01-03,0.0,SP
2015-01-03,0.0,SP
2015-01-03,0.0,SP
2015-01-03,0.0,SP
2015-01-03,0.0,SP
2015-01-03,0.0,SP
2015-01-03,0.0,SP
2015-01-03,0.0,SP
2015-01-03,0.0,SP
2015-01-03,0.0,SP
2015-01-03,0.0,SP
2015-01-03,0.0,SP
2015-01-03,0.0,SP
2015-01-03,0.0,SP
2015-01-03,0.0,SP
2015-01-03,0.0,SP
2015-01-03,0.2,SP
2015-01-03,0.0,SP
2015-01-03,0.0,SP
